sample_id	condition
SRR11862834	T
SRR11862835	N
SRR11862836	T
SRR11862837	N
SRR11862838	T
SRR11862839	N
SRR11862840	T
SRR11862841	N
SRR11862842	T
SRR11862843	N
SRR11862844	T
SRR11862845	N
SRR11862846	T
SRR11862847	N
SRR11862848	T
SRR11862849	N
SRR11862850	T
SRR11862851	N
SRR11862852	T
SRR11862853	N
SRR11862854	T
SRR11862855	N
SRR11862856	T
SRR11862857	N
